methd,query_idx,size,tau,payload_size,correct
COS,33,9,0.0,7715,1
WNG,33,9,0.0,7715,1
CNT,33,9,0.0,7715,1
WNG+COS,33,9,0.0,7715,1
COS,34,3,0.0,7148,1
WNG,34,3,0.0,7148,1
CNT,34,3,0.0,7148,1
WNG+COS,34,3,0.0,7148,1
COS,34,6,0.0,7437,1
WNG,34,6,0.0,7437,1
CNT,34,6,0.0,7437,1
WNG+COS,34,6,0.0,7437,1
COS,34,9,0.0,7760,1
WNG,34,9,0.0,7760,1
CNT,34,9,0.0,7760,1
WNG+COS,34,9,0.0,7760,1
COS,35,3,0.0,5869,1
WNG,35,3,0.0,5869,1
CNT,35,3,0.0,5869,1
WNG+COS,35,3,0.0,5869,1
COS,35,6,0.0,6661,1
WNG,35,6,0.0,6661,1
CNT,35,6,0.0,6661,1
WNG+COS,35,6,0.0,6661,1
COS,35,9,0.0,5855,1
WNG,35,9,0.0,5855,1
CNT,35,9,0.0,5855,1
WNG+COS,35,9,0.0,5855,1
COS,36,3,0.0,6551,1
WNG,36,3,0.0,6551,1
CNT,36,3,0.0,6551,1
WNG+COS,36,3,0.0,6551,1
COS,36,6,0.0,7563,1
WNG,36,6,0.0,7563,1
CNT,36,6,0.0,7563,1
WNG+COS,36,6,0.0,7563,1
COS,36,9,0.0,7766,1
WNG,36,9,0.0,7766,1
CNT,36,9,0.0,7766,1
WNG+COS,36,9,0.0,7766,1
COS,37,3,0.0,6353,1
WNG,37,3,0.0,6353,1
CNT,37,3,0.0,6353,1
WNG+COS,37,3,0.0,6353,1
COS,37,6,0.0,7608,1
WNG,37,6,0.0,7608,1
CNT,37,6,0.0,7608,1
WNG+COS,37,6,0.0,7608,1
COS,37,9,0.0,7612,1
WNG,37,9,0.0,7612,1
CNT,37,9,0.0,7612,1
WNG+COS,37,9,0.0,7612,1
COS,38,3,0.0,6220,1
WNG,38,3,0.0,6220,1
CNT,38,3,0.0,6220,1
WNG+COS,38,3,0.0,6220,1
COS,38,6,0.0,6741,1
WNG,38,6,0.0,6741,1
CNT,38,6,0.0,6741,1
WNG+COS,38,6,0.0,6741,1
COS,38,9,0.0,4767,1
WNG,38,9,0.0,4767,1
CNT,38,9,0.0,4767,1
WNG+COS,38,9,0.0,4767,1
COS,39,3,0.0,3883,1
WNG,39,3,0.0,3883,1
CNT,39,3,0.0,3883,1
WNG+COS,39,3,0.0,3883,1
COS,39,6,0.0,6574,1
WNG,39,6,0.0,6574,1
CNT,39,6,0.0,6574,1
WNG+COS,39,6,0.0,6574,1
COS,39,9,0.0,7724,1
WNG,39,9,0.0,7724,1
CNT,39,9,0.0,7724,1
WNG+COS,39,9,0.0,7724,1
